Stuart Brightman                 , TETRA TECHNOLOGIES INC DE
Stuart Tanz                      , RETAIL OPPORTUNITY INVTS CP
Stuart Bradie                    , KBR INC
Stuart Rose                      , REX AMERICAN RESOURCES CORP
Sudhir Singh                     , CONCUR TECHNOLOGIES INC
Susan Cameron                    , REYNOLDS AMERICAN INC
Susan Salka                      , AMN HEALTHCARE SERVICES INC
Suzanne Sitherwood               , LACLEDE GROUP INC
Sylvester Johnson Jr IV          , CARRIZO OIL & GAS INC
T Rodgers PhD                    , CYPRESS SEMICONDUCTOR CORP
T Eglin                          , LEXINGTON REALTY TRUST
T Hunt                           , VASCO DATA SEC INTL INC
Tarek Sherif                     , MEDIDATA SOLUTIONS INC
Terrance Finley                  , BOOKS-A-MILLION INC
Terry Lundgren                   , MACY'S INC
Terry Swift                      , SWIFT ENERGY CO
Terry McCallister                , WGL HOLDINGS INC
Terry Considine JD               , APARTMENT INVST & MGMT CO
Terry Bassham                    , GREAT PLAINS ENERGY INC
Terry Spencer                    , ONEOK INC
Terry Zink                       , CASCADE BANCORP
Theodore Craver Jr               , EDISON INTERNATIONAL
Theodore Torbeck                 , CINCINNATI BELL INC
Thinh Tran                       , SIGMA DESIGNS INC
Thomas Gallagher                 , GENUINE PARTS CO
Thomas Falk                      , KIMBERLY-CLARK CORP
Thomas Gottwald                  , NEWMARKET CORP
Thomas Wilson II                 , ALLSTATE CORP
Thomas Skains                    , PIEDMONT NATURAL GAS CO
Thomas Faust Jr CFA              , EATON VANCE CORP
Thomas Farrell II                , DOMINION RESOURCES INC
Thomas Stanton                   , ADTRAN INC
Thomas Watjen                    , UNUM GROUP
Thomas Gendron                   , WOODWARD INC
Thomas Malkoski                  , PENFORD CORP
Thomas Toomey                    , UDR INC
Thomas Ryan                      , SERVICE CORP INTERNATIONAL
Thomas Fanning                   , SOUTHERN CO
Thomas Jorden                    , CIMAREX ENERGY CO
Thomas Quinlan III               , DONNELLEY R R & SONS CO
Thomas Hook                      , GREATBATCH INC
Thomas Monahan III               , CEB INC
Thomas Chubb III                 , OXFORD INDUSTRIES INC
Thomas Burke                     , MODINE MANUFACTURING CO
Thomas Georgens                  , NETAPP INC
Thomas Patterson                 , BASIC ENERGY SERVICES INC
Thomas Waechter                  , VIAVI SOLUTIONS INC
Thomas Felmer                    , BRADY CORP
Thomas Lynch                     , TE CONNECTIVITY LTD
Thomas Johnson                   , AEROPOSTALE INC
Thomas Folliard                  , CARMAX INC
Thomas Price                     , FIRST COMMONWLTH FINL CP PA
Thomas Prescott                  , ALIGN TECHNOLOGY INC
Thomas Carson                    , ROVI CORP
Thomas Motamed                   , CNA FINANCIAL CORP
Thomas Millner                   , CABELAS INC
Thomas Peterffy                  , INTERACTIVE BROKERS GROUP
Thomas Burke                     , ROWAN COS PLC
Thomas Richards                  , CDW CORP
Thomas Schievelbein              , BRINKS CO
Thomas Casey                     , TRONOX LTD
Thomas May                       , EVERSOURCE ENERGY
Thomas Shockley III              , EL PASO ELECTRIC CO
Thomas Ray JD                    , CORESITE REALTY CORP
Thomas Carlile                   , BOISE CASCADE CO
Thomas Edman                     , TTM TECHNOLOGIES INC
Thomas Kennedy PhD               , RAYTHEON CO
Thomas Lacey                     , TESSERA TECHNOLOGIES INC
Thomas McInerney                 , GENWORTH FINANCIAL INC
Thomas Giacomini                 , JOHN BEAN TECHNOLOGIES
Thomas Ferguson                  , AZZ INC
Thomas Stabley                   , REX ENERGY CORP
Thomas Leverton                  , CEC ENTERTAINMENT INC
Thomas Sanzone                   , BLACK KNIGHT FINANCIAL SVCS
Thomas DeRosa                    , HEALTH CARE REIT INC
Thomas Might                     , CABLE ONE INC
Timothy Wallace                  , TRINITY INDUSTRIES
Timothy Ring                     , BARD CR INC
Timothy Cook                     , APPLE INC
Timothy Naughton                 , AVALONBAY COMMUNITIES INC
Timothy Mayopoulos               , FANNIE MAE
Timothy Conver                   , AEROVIRONMENT INC
Timothy Armstrong                , AOL INC
Timothy Stultz PhD               , NANOMETRICS INC
Timothy Warner                   , CINEMARK HOLDINGS INC
Timothy Biltz                    , LUMOS NETWORKS CORP
Timothy Leuliette                , VISTEON CORP
Todd Teske                       , BRIGGS & STRATTON
Todd Hornbeck                    , HORNBECK OFFSHORE SVCS INC
Todd Bluedorn                    , LENNOX INTERNATIONAL INC
Todd Brice                       , S & T BANCORP INC
Todd Becker                      , GREEN PLAINS INC
Todd Stevens                     , CALIFORNIA RESOURCES CORP
Tom Olofson                      , EPIQ SYSTEMS INC
Tony Jensen                      , ROYAL GOLD INC
Tracy Wolstencroft               , HEIDRICK & STRUGGLES INTL
Trevor Fetter                    , TENET HEALTHCARE CORP
Troy Clarke                      , NAVISTAR INTERNATIONAL CORP
Tunc Doluca                      , MAXIM INTEGRATED PRODUCTS
Ursula Burns                     , XEROX CORP
Valentin Gapontsev PhD           , IPG PHOTONICS CORP
Vernon Nagel                     , ACUITY BRANDS INC
Victor Richey Jr                 , ESCO TECHNOLOGIES INC
Victor Clemons Sr                , CORVEL CORP
Vikram Verma                     , 8X8 INC
Vincent Forlenza                 , BECTON DICKINSON & CO
Vincent Palagiano                , DIME COMMUNITY BANCSHARES
Vincent Roche                    , ANALOG DEVICES
Vincent Kelly                    , SPOK HOLDINGS INC
Vincent Delie Jr                 , F N B CORP FL
Vincent Volpe Jr                 , DRESSER-RAND GROUP INC
Virginia Rometty                 , INTL BUSINESS MACHINES CORP
Vivek Jain                       , ICU MEDICAL INC
W McMullen                       , KROGER CO
W Jelinek                        , COSTCO WHOLESALE CORP
W McNerney Jr                    , BOEING CO
W Walter                         , HOST HOTELS & RESORTS INC
W Will                           , CF INDUSTRIES HOLDINGS INC
W Moreland                       , CROWN CASTLE INTL CORP
W Vernon                         , KRAFT FOODS GROUP INC
Walden Rhines                    , MENTOR GRAPHICS CORP
Wallace Boston Jr EdD            , AMERICAN PUBLIC EDUCATION
Walter Robb III                  , WHOLE FOODS MARKET INC
Walter Bettinger II              , SCHWAB CHARLES CORP
Walter Rosebrough Jr             , STERIS CORP
Walter Turner                    , KOPPERS HOLDINGS INC
Walter Wheeler                   , GEOSPACE TECHNOLOGIES CORP
Walter Herlihy PhD               , REPLIGEN CORP
Ward Klein                       , EDGEWELL PERSONAL CARE CO
Ward Timken Jr                   , TIMKENSTEEL CORP
Warner Baxter CPA                , AMEREN CORP
Warren Buffett                   , BERKSHIRE HATHAWAY
Warren Rustand                   , PROVIDENCE SERVICE CORP
Wayne Smith                      , COMMUNITY HEALTH SYSTEMS INC
Wayne Taylor                     , TEXAS ROADHOUSE INC
Wendell Weeks                    , CORNING INC
Wendell Blonigan                 , INTEVAC INC
Wendy Simpson                    , LTC PROPERTIES INC
Wesley Bush                      , NORTHROP GRUMMAN CORP
Weston Hicks CFA                 , ALLEGHANY CORP
Willard Oberton                  , FASTENAL CO
William Dillard II               , DILLARDS INC  -CL A
William Ruprecht                 , SOTHEBY'S
William Cooper                   , TCF FINANCIAL CORP
William Berkley                  , BERKLEY W R CORP
William Reuter                   , SUSQUEHANNA BANCSHARES INC
William Cook                     , DONALDSON CO INC
William Sullivan                 , AGILENT TECHNOLOGIES INC
William Carpenter III            , LIFEPOINT HEALTH INC
William Ford Jr                  , FORD MOTOR CO
William Demchak                  , PNC FINANCIAL SVCS GROUP INC
William Boyle MBA                , CUBIC CORP
William Noglows                  , CABOT MICROELECTRONICS CORP
William Crenshaw                 , PUBLIX SUPER MARKETS INC
William Stone                    , SS&C TECHNOLOGIES HLDGS INC
William Rhodes III               , AUTOZONE INC
William Nuti                     , NCR CORP
William Lambert                  , MSA SAFETY INC
William Rogers Jr                , SUNTRUST BANKS INC
William Flynn                    , ATLAS AIR WORLDWIDE HLDG INC
William McGill Jr                , MARINEMAX INC
William Wilcox                   , UNITED SURGICAL PRTNRS -OLD
William Spence                   , PPL CORP
William Kessel CPA               , INDEPENDENT BANK CORP MI
William Lucia FLMI               , HMS HOLDINGS CORP
William Locke                    , PIONEER ENERGY SERVICES CORP
William Starnes JD Esq           , PROASSURANCE CORP
William Smith Jr                 , SMITH MICRO SOFTWARE INC
William Jasper                   , UNIFI INC
William DeLaney III              , SYSCO CORP
William Hankowsky                , LIBERTY PROPERTY TRUST
William Saxelby                  , LANDAUER INC
William Yarmuth                  , ALMOST FAMILY INC
William Angrick III              , LIQUIDITY SERVICES INC
William Ruckelshaus              , BLUCORA INC
William Wulfsohn                 , CARPENTER TECHNOLOGY CORP
William Wagner                   , NORTHWEST BANCSHARES INC
William Bayless Jr               , AMERICAN CAMPUS COMMUNITIES
William Lovette                  , PILGRIM'S PRIDE CORP
William Thomas                   , EOG RESOURCES INC
William Cobb                     , BLOCK H & R INC
William Hawkins III              , IMMUCOR INC
William Ballhaus                 , SRA INTERNATIONAL INC
William Brown                    , HARRIS CORP
William Merritt                  , INTERDIGITAL INC
William Lansing JD               , FAIR ISAAC CORP
William Stiritz                  , POST HOLDINGS INC
William Hendricks Jr             , PATTERSON-UTI ENERGY INC
William Griffiths                , QUANEX BUILDING PRODUCTS
William Meaney BSc MEng M        , IRON MOUNTAIN INC
William Grubbs                   , CROSS COUNTRY HEALTHCARE INC
William Parker                   , AMERICAN AIRLINES GROUP INC
William Scaff Jr                 , SYNERGY RESOURCES CORP
William Marth                    , ALBANY MOLECULAR RESH INC
William Walker                   , WALKER & DUNLOP INC
William Koertner                 , MYR GROUP INC
Willing Biddle                   , URSTADT BIDDLE PROPERTIES
Wyman Roberts                    , BRINKER INTL INC
