Mitchell Feiger                  , MB FINANCIAL INC MD
Mogens Bay                       , VALMONT INDUSTRIES INC
Mohan Maheswaran                 , SEMTECH CORP
Monte Redman                     , ASTORIA FINANCIAL CORP
Montgomery Moran                 , CHIPOTLE MEXICAN GRILL INC
Morris Goldfarb                  , G-III APPAREL GROUP LTD
Morris Young PhD                 , AXT INC
Moshe Gavrielov                  , XILINX INC
Muhtar Kent                      , COCA-COLA CO
Murray Kessler                   , LORILLARD INC
Myron Ullman III                 , PENNEY J C CO
N Linebarger                     , CUMMINS INC
Nancy Taylor                     , TREDEGAR CORPc
Naren Gursahaney                 , ADT CORP
Neal Patterson                   , CERNER CORP
Neal Keating                     , KAMAN CORP
Necip Sayiner                    , INTERSIL CORP  -CL A
Nehemia Zucker                   , J2 GLOBAL INC
Neil Cole                        , ICONIX BRAND GROUP INC
Neil Hammer                      , COMMVAULT SYSTEMS INC
Neil Nguyen                      , SIZMEK INC
Neil Schrimsher                  , APPLIED INDUSTRIAL TECH INC
Neill Davis                      , FRANCESCAS HOLDINGS CORP
Nicholas DeBenedictis            , AQUA AMERICA INC
Nicholas Pinchuk                 , SNAP-ON INC
Nicholas Deiuliis                , CONSOL ENERGY INC
Nicholas Akins                   , AMERICAN ELECTRIC POWER CO
Nigel Travis                     , DUNKIN' BRANDS GROUP INC
Nitin Sahney                     , OMNICARE INC
Norman Schwartz                  , BIO-RAD LABORATORIES INC
Norman Chambers                  , NCI BUILDING SYSTEMS INC
Norman Asbjornson                , AAON INC
O Hall Jr                        , REGIONS FINANCIAL CORP
O Smith                          , SONIC AUTOMOTIVE INC  -CL A
Ofer Elyakim                     , DSP GROUP INC
Oivind Lorentzen III             , SEACOR HOLDINGS INC
Oleg Khaykin                     , INTL RECTIFIER CORP
Oliver Brewer III                , CALLAWAY GOLF CO
Olivier Filliol                  , METTLER-TOLEDO INTL INC
Omar Ishrak                      , MEDTRONIC PLC
Owen Kratz                       , HELIX ENERGY SOLUTIONS GROUP
Owen Thomas                      , BOSTON PROPERTIES INC
Paal Kibsgaard                   , SCHLUMBERGER LTD
Pamela Patsley                   , MONEYGRAM INTERNATIONAL INC
Paolo Pucci                      , ARQULE INC
Paramesh Gopi PhD                , APPLIED MICRO CIRCUITS CORP
Paresh Patel                     , HCI GROUP INC
Parker Petit                     , MIMEDX GROUP INC
Patricia Woertz                  , ARCHER-DANIELS-MIDLAND CO
Patricia Vincent-Collawn         , PNM RESOURCES INC
Patricia Kampling                , ALLIANT ENERGY CORP
Patrick Lavelle                  , VOXX INTERNATIONAL CORP
Patrick McHale                   , GRACO INC
Patrick Harshman                 , HARMONIC INC
Patrick Dempsey                  , BARNES GROUP INC
Patrick Prevost                  , CABOT CORP
Patrick Burke                    , HSBC FINANCE CORP
Patrick Ramsey                   , MULTIMEDIA GAMES HOLDING CO
Patrick Hawkins                  , HAWKINS INC
Patrick Henry                    , ENTROPIC COMMUNICATIONS INC
Patrick Balthrop Sr              , LUMINEX CORP
Patrick Smith                    , TASER INTERNATIONAL INC
Patrick Decker                   , XYLEM INC
Patrick Williams                 , INNOSPEC INC
Patrizio Vinciarelli PhD         , VICOR CORP
Patti Hart                       , INTL GAME TECHNOLOGY
Paul Sarvadi                     , INSPERITY INC
Paul Saville                     , NVR INC
Paul McLaughlin                  , RUDOLPH TECHNOLOGIES INC
Paul Rooke                       , LEXMARK INTL INC  -CL A
Paul Varga                       , BROWN FORMAN CORP
Paul Diaz                        , KINDRED HEALTHCARE INC
Paul Phipps                      , ESSENDANT INC
Paul Greig                       , FIRSTMERIT CORP
Paul Carrico                     , AXIALL CORP
Paul Campanelli                  , PAR PHARMACEUTCL HLDGS -REDH
Paul Arling                      , UNIVERSAL ELECTRONICS INC
Paul Bisaro                      , ALLERGAN PLC
Paul Marciano III                , GUESS INC
Paul Dykstra                     , VIAD CORP
Paul Johnston PhD PE             , EXPONENT INC
Paul Perrault                    , BROOKLINE BANCORP INC
Paul Reilly                      , RAYMOND JAMES FINANCIAL CORP
Paul Sunu                        , FAIRPOINT COMMUNICATIONS INC
Paul Rothamel                    , EZCORP INC  -CL A
Paul Manning                     , SENSIENT TECHNOLOGIES CORP
Paul Black                       , ALLSCRIPTS HEALTHCARE SOLTNS
Paul Howes                       , NEWPARK RESOURCES
Paul Novelly II                  , FUTUREFUEL CORP
Paul Galant                      , VERIFONE SYSTEMS INC
Paul Idzik                       , E TRADE FINANCIAL CORP
Paul Boynton                     , RAYONIER ADVANCED MATERIALS
Paul Will                        , CELADON GROUP INC
Paul Meister                     , INVENTIV HEALTH INC
Pehong Chen                      , BROADVISION INC
Per-Olof Lf                      , KEMET CORP
Peter Kalan                      , CSG SYSTEMS INTL INC
Peter Delaney                    , OGE ENERGY CORP
Peter McCormick                  , MAGNETEK INC
Peter Dameris                    , ON ASSIGNMENT INC
Peter Swinburn                   , MOLSON COORS BREWING CO
Peter Ho                         , BANK OF HAWAII CORP
Peter Leparulo                   , NOVATEL WIRELESS INC
Peter Thomas                     , FERRO CORP
Peter Jakobsen                   , MEAD JOHNSON NUTRITION CO
Peter Arduini                    , INTEGRA LIFESCIENCES HLDGS
Peter Altabef                    , MICROS SYSTEMS INC
Peter Leav                       , POLYCOM INC
Peter Liguori                    , TRIBUNE MEDIA CO
Phebe Novakovic                  , GENERAL DYNAMICS CORP
Phil Rykhoek Sr                  , DENBURY RESOURCES INC
Philip Hadley                    , FACTSET RESEARCH SYSTEMS INC
Philip Mezey                     , ITRON INC
Philip Heasley                   , ACI WORLDWIDE INC
Philip Flynn                     , ASSOCIATED BANC-CORP
Philip Pead                      , PROGRESS SOFTWARE CORP
Philippe Dauman                  , VIACOM INC
Phillip Tomlinson                , TOTAL SYSTEM SERVICES INC
Phillip Norton                   , EPLUS INC
Phillips Baker Jr                , HECLA MINING CO
Phupinder Gill                   , CME GROUP INC
Pierce Norton II                 , ONE GAS INC
Pierre Brondeau                  , FMC CORP
Pierre Nanterme                  , ACCENTURE PLC
Prasad Rampalli                  , QLOGIC CORP
Quintin Kneen                    , GULFMARK OFFSHORE INC
R Johnson                        , HCA HOLDINGS INC
R Walker                         , ANADARKO PETROLEUM CORP
R Hanson                         , ION GEOPHYSICAL CORP
R Woodall                        , BILL BARRETT CORP
R Rouleau                        , TUESDAY MORNING CORP
R Clyde                          , MURPHY USA INC
Rainer Jueckstock                , FEDERAL-MOGUL HOLDINGS CORP
Raja Parvez                      , RUBICON TECHNOLOGY INC
Rajat Rai                        , AKORN INC
Rajesh Shrotriya MD              , SPECTRUM PHARMACEUTICALS INC
Rajiv De Silva                   , ENDO INTERNATIONAL PLC
Rakesh Sachdev                   , SIGMA-ALDRICH CORP
Ralph Babb Jr                    , COMERICA INC
Ralph Izzo PhD                   , PUBLIC SERVICE ENTRP GRP INC
Ralph Lauren                     , RALPH LAUREN CORP
Ralph Faison                     , PULSE ELECTRONICS CORP
Ralph Schlosstein                , EVERCORE PARTNERS INC
Ramesh Srinivasan                , BALLY TECHNOLOGIES INC
Randall Hogan III                , PENTAIR PLC
Randall Stephenson               , AT&T INC
Randall Lipps                    , OMNICELL INC
Randall Stuewe                   , DARLING INGREDIENTS INC
Randall Dearth                   , CALGON CARBON CORP
Randall Churchey CPA             , EDUCATION REALTY TRUST INC
Randall Stilley                  , PARAGON OFFSHORE PLC
Randolph Thornton Jr             , COMDISCO HOLDING CO INC
Randolph Gress                   , INNOPHOS HOLDINGS INC
Randolph Marten                  , MARTEN TRANSPORT LTD
Randy Ramlo                      , UNITED FIRE GROUP INC
Randy Potts                      , WINNEBAGO INDUSTRIES
Randy Ortiz                      , LOJACK CORP
Ray Dillon                       , DELTIC TIMBER CORP
Raymond Zinn                     , MICREL INC
Raymond McDaniel Jr              , MOODY'S CORP
Raymond Davis                    , UMPQUA HOLDINGS CORP
Raymond Quirk                    , FIDELITY NATL FINL FNF GROUP
Raymond Betler                   , WABTEC CORP
Raymond Quinlan                  , SLM CORP
Raymond Huggenberger             , INOGEN INC
Reece Kurtenbach                 , DAKTRONICS INC
Reed Hastings                    , NETFLIX INC
Rex Tillerson                    , EXXON MOBIL CORP
Richard Smucker                  , SMUCKER JM CO
Richard Evans Jr                 , CULLEN FROST BANKERS INC
Richard Adkerson                 , FREEPORT-MCMORAN INC
Richard Robinson                 , SCHOLASTIC CORP
Richard Carrion                  , POPULAR INC
Richard Davis                    , U S BANCORP
Richard Templeton                , TEXAS INSTRUMENTS INC
Richard Fairbank                 , CAPITAL ONE FINANCIAL CORP
Richard Adams                    , UNITED BANKSHARES INC WV
Richard Penn                     , HUTCHINSON TECHNOLOGY INC
Richard Kinder                   , KINDER MORGAN INC
Richard Moberg                   , AWARE INC
Richard Parod                    , LINDSAY CORP
Richard Boehne                   , EW SCRIPPS  -CL A
Richard Harshman                 , ALLEGHENY TECHNOLOGIES INC
Richard Montoni                  , MAXIMUS INC
Richard Dugas Jr                 , PULTEGROUP INC
Richard Giromini                 , WABASH NATIONAL CORP
Richard Wallace                  , KLA-TENCOR CORP
Richard Hamada                   , AVNET INC
Richard Kramer                   , GOODYEAR TIRE & RUBBER CO
Richard Hipple                   , MATERION CORP
Richard Spurr                    , ZIX CORP
Richard Smith                    , EQUIFAX INC
Richard Campo                    , CAMDEN PROPERTY TRUST
Richard Anderson                 , DELTA AIR LINES INC
Richard Brooks Jr                , ZUMIEZ INC
Richard Dreiling                 , DOLLAR GENERAL CORP
Richard Norwitt                  , AMPHENOL CORP
Richard Daly                     , BROADRIDGE FINANCIAL SOLUTNS
Richard Noll                     , HANESBRANDS INC
Richard Hayne                    , URBAN OUTFITTERS INC
Richard Meeusen                  , BADGER METER INC
